#CurrentValue,#time
5.435884,1243384
5.440641,1244056
5.445429,1244717
5.450141,1245452
5.454957,1246190
5.459661,1246941
5.464397,1247775
5.469058,1248425
5.473749,1249026
5.478330,1249827
5.482836,1250972
5.487301,1251640
5.491800,1252353
5.496151,1253066
5.500464,1254485
5.504631,1256730
5.508866,1258484
5.512991,1259675
5.517042,1261263
5.520948,1263097
5.524887,1264883
5.528716,1266710
5.532507,1268386
5.536226,1269449
5.539906,1270077
5.543584,1270745
5.547224,1271561
5.550720,1272295
5.554285,1273010
5.557777,1273825
5.561232,1274495
5.564684,1275108
5.568170,1275983
5.571583,1277452
5.574994,1279303
5.578402,1281068
5.581739,1282595
5.585214,1283901
5.588617,1285738
5.592017,1287443
5.595381,1289551
5.598707,1291446
5.602102,1293000
5.605459,1293659
5.608779,1294327
5.612063,1295030
5.615379,1295546
5.618625,1296139
5.621868,1296850
5.625074,1297583
5.628278,1298341
5.631446,1299083
5.634612,1299703
5.637672,1300314
5.640835,1301069
5.643822,1301675
5.646808,1302198
5.649757,1302770
5.652566,1303410
5.655374,1304189
5.658042,1305004
5.660674,1306505
5.663270,1308382
5.665761,1310233
5.668251,1311800
5.670671,1313412
5.672952,1315275
5.675266,1317351
5.677441,1319255
5.679616,1321209
5.681686,1322471
5.683824,1323018
5.685789,1323527
5.687823,1324100
5.689787,1324662
5.691715,1325186
5.693712,1325745
5.695536,1326297
5.697394,1326832
5.699389,1327582
5.701246,1328241
5.703136,1329094
5.704991,1329941
5.706846,1330856
5.708666,1331958
5.710417,1333056
5.712167,1334480
5.713883,1335972
5.715563,1337982
5.717277,1340123
5.718854,1342235
5.720464,1343435
5.722006,1344823
5.723513,1346215
5.724986,1347630
5.726355,1349539
5.727758,1351531
5.729195,1353444
5.730529,1354384
5.731897,1355139
5.733128,1355870
5.734427,1356569
5.735725,1357294
5.736955,1358029
5.738151,1358729
5.739381,1359532
5.740644,1360298
5.741805,1361099
5.742965,1362237
5.744125,1363426
5.745251,1364931
5.746309,1366161
5.747366,1367710
5.748423,1369367
5.749446,1370695
5.750400,1371865
5.751354,1372868
5.752241,1373860
5.753092,1374604
5.753910,1375360
5.754625,1376011
5.755340,1376768
5.756022,1377511
5.756635,1378239
5.757213,1378959
5.757724,1379732
5.758200,1380511
5.758575,1381209
5.758915,1382010
5.759289,1382781
5.759528,1383554
5.759732,1384320
5.759834,1385033
5.759902,1385638
5.759936,1386283
5.759868,1386932
5.759732,1387568
5.759562,1388283
5.759358,1388984
5.758983,1389651
5.758677,1390659
5.758166,1391630
5.757724,1392420
5.757145,1393211
5.756532,1393876
5.755920,1394773
5.755204,1396244
5.754421,1397981
5.753569,1399608
5.752717,1401420
5.751866,1402914
5.750912,1404690
5.749889,1406817
5.749003,1408764
5.747980,1411127
5.746922,1412612
5.745899,1413329
5.744876,1414101
5.743886,1414884
5.742829,1415694
5.741805,1416516
5.740815,1417225
5.739790,1418096
5.738800,1418898
5.737809,1419789
5.736819,1420672
5.735862,1421552
5.734871,1422237
5.733880,1422950
5.732854,1423849
5.731863,1425000
5.730802,1426043
5.729640,1427110
5.728545,1428076
5.727484,1428663
5.726218,1429285
5.724951,1430046
5.723582,1430806
5.722212,1431617
5.720704,1432366
5.719197,1433096
5.717586,1433844
5.715940,1434618
5.714191,1435360
5.712373,1436001
5.710520,1436650
5.708598,1437261
5.706572,1437882
5.704476,1438558
5.702277,1439268
5.700077,1439936
5.697772,1440642
5.695433,1441327
5.693023,1441975
5.690544,1442848
5.687960,1443628
5.685376,1444368
5.682720,1445123
5.680030,1445958
5.677338,1446705
5.674575,1447487
5.671708,1448300
5.668839,1449482
5.665934,1451044
5.662993,1452418
5.660016,1454011
5.657003,1455659
5.654022,1457342
5.650971,1458846
5.647884,1460472
5.644794,1462414
5.641773,1463919
5.638646,1465299
5.635586,1466625
5.632421,1467986
5.629323,1468944
5.626258,1469723
5.623157,1471081
5.620089,1473321
5.617055,1475664
5.614088,1477877
5.611085,1479473
5.608151,1480142
5.605179,1480866
5.602242,1481564
5.599267,1482214
5.596326,1482942
5.593454,1483640
5.590510,1484308
5.587599,1484994
5.584618,1486320
5.581634,1487689
5.578683,1489123
5.575697,1490759
5.572673,1491945
5.569718,1493191
5.566656,1494675
5.563452,1496499
5.560280,1498279
5.557107,1500165
5.553897,1501578
5.550650,1502161
5.547294,1502869
5.544043,1503586
5.540614,1504298
5.537217,1505028
5.533853,1505678
5.530382,1506401
5.526979,1507180
5.523539,1507916
5.520025,1508611
5.516509,1509324
5.512991,1510102
5.509364,1510905
5.505806,1511632
5.502174,1512363
5.498540,1513077
5.494868,1513813
5.491086,1514652
5.487301,1515829
5.483514,1516671
5.479654,1518143
5.475790,1519653
5.471852,1521145
5.467875,1521952
5.463859,1522981
5.459841,1524503
5.455712,1526302
5.451651,1527420
5.447552,1529187
5.443449,1530263
5.439308,1531507
5.435091,1533200
5.430871,1535178
5.426720,1537008
5.422565,1538861
5.418408,1540635
5.414247,1542785
5.410084,1544416
5.405989,1544989
5.401927,1545539
5.397790,1546120
5.393759,1546687
5.389652,1547356
5.385688,1548158
5.381757,1548881
5.377714,1549603
5.373740,1550336
5.369764,1550952
5.365785,1551592
5.361803,1552366
5.357891,1553182
5.353829,1553989
5.349838,1554816
5.345771,1555512
5.341628,1556221
5.337444,1557071
5.333257,1558381
5.328993,1559545
5.324726,1560901
5.320419,1562445
5.315997,1564104
5.311572,1565587
5.307033,1567288
5.302452,1569458
5.297868,1571667
5.293316,1573386
5.288650,1574096
5.284017,1574800
5.279305,1575512
5.274626,1576243
5.269869,1576939
5.265219,1577709
5.260454,1578465
5.255796,1579135
5.251096,1579879
5.246429,1580466
5.241684,1581152
5.237084,1581951
5.232368,1582640
5.227722,1583664
5.223035,1584477
5.218456,1585299
5.213610,1586232
5.208948,1587036
5.204206,1588293
5.199460,1590907
5.194709,1592702
